"TESTING PROCEDURE","REFERENCE NAME","EVIDENCE CATEGORY","REASONING"
"8.4.2.a","Requirement 8.4.2..a MFA Implementation for All CDE Access Network System Configuration Verification Examination","Documentation Evidence","This involves examining network and/or system configurations to verify that Multi-Factor Authentication (MFA) is implemented for all access into the Cardholder Data Environment (CDE), fitting under the review of network and system configuration settings."
"8.4.2.b (Part 1 - Observe Personnel Logging In)","Requirement 8.4.2..b MFA Requirement for CDE Login Observation","Observation Evidence","This part involves observing personnel logging in to the CDE and verifying that MFA is required, aligning with the observation of authentication processes in practice."
"8.4.2.b (Part 2 - Examine Additional Evidence)","Requirement 8.4.2..b MFA Requirement for CDE Access Compliance Additional Evidence Examination","Documentation Evidence","This requires examining any additional evidence to verify that MFA is required for accessing the CDE, fitting under the review of supplementary documentation or evidence supporting the implementation of MFA."
"8.4.3.a","Requirement 8.4.3..a MFA Requirement for Remote Access Server System Configuration Verification Examination","Documentation Evidence","This involves examining network and/or system configurations for remote access servers and systems to verify that Multi-Factor Authentication (MFA) is required in accordance with all elements specified in this requirement, fitting under the review of network and system configuration settings."
"8.4.3.b","Requirement 8.4.3..b MFA Implementation for Remote Network Access Observation","Observation Evidence","This part involves observing personnel (for example, users and administrators) connecting remotely to the network and verifying that multi-factor authentication is required, aligning with the observation of authentication processes in action during remote network access."
"8.5.1.a","Requirement 8.5.1..a MFA System Replay Attack Resistance Vendor Documentation Verification Examination","Documentation Evidence","This involves examining vendor system documentation to verify that the Multi-Factor Authentication (MFA) system is not susceptible to replay attacks, fitting under the review of vendor system documentation."
"8.5.1.b","Requirement 8.5.1..b MFA Implementation Configuration Compliance Verification Examination","Documentation Evidence","This part involves examining system configurations for the MFA implementation to verify it is configured in accordance with all elements specified in this requirement, aligning with the review of system configuration settings."
"8.5.1.d","Requirement 8.5.1..d MFA Success Prior to CDE Access Observation","Observation Evidence","This involves observing personnel logging into system components in the CDE to verify that access is granted only after all authentication factors are successful, fitting under the observation of authentication processes."
"8.5.1.e","Requirement 8.5.1..e MFA Success for Remote Access from External Network Observation","Observation Evidence","This part requires observing personnel connecting remotely from outside the entity???s network to verify that access is granted only after all authentication factors are successful, aligning with the observation of remote access authentication."
"8.6.2.b","Requirement 8.6.2..b Interactive Login Accounts Password Passphrase Hardcoding Verification Examination","Documentation Evidence","This involves examining scripts, configuration/property files, and bespoke and custom source code for application and system accounts that can be used for interactive login, to verify that passwords/passphrases for those accounts are not present. This aligns with the review of scripts, configuration files, and source code to ensure compliance with security practices."
"8.6.3.a","Requirement 8.6.3..a Application System Account Password Passphrase Misuse Protection Policy Procedure Verification Examination","Documentation Evidence","This involves examining policies and procedures to verify that procedures are defined to protect passwords/passphrases for application or system accounts against misuse, fitting under the review of documented policies and procedures."
"8.6.3.b","Requirement 8.6.3..b Password Passphrase Change Frequency Complexity Risk Analysis Examination","Documentation Evidence","This requires examining the entity???s targeted risk analysis for the change frequency and complexity for passwords/passphrases used for interactive login to application and system accounts, ensuring the risk analysis is performed in accordance with Requirement 12.3.1 and addresses the specified elements."
"12.1.1 (Part 1 - Examine the Information Security Policy)","Requirement 12.1.1.. Information Security Policy Management Examination","Documentation Evidence","This part involves examining the information security policy to verify its management, which aligns with the review of documents."
"12.1.1 (Part 2 - Interview Personnel)","Requirement 12.1.1.. Personnel Information Security Policy Management Interviews","Interview Evidence","This part requires interviewing personnel regarding the management of the overall information security policy, which falls under the collection of interview notes."
"12.1.2 (Part 1 - Examine the Information Security Policy)","Requirement 12.1.2.. Information Security Policy Management Examination","Documentation Evidence","This part involves examining the information security policy to verify its management according to specified elements, which fits the review of documents."
"12.1.2 (Part 2 - Interview Responsible Personnel)","Requirement 12.1.2.. Personnel Information Security Policy Management Interviews","Interview Evidence","This part requires interviewing responsible personnel regarding the management of the information security policy, which is aligned with the collection of interview notes."
"12.1.3.a","Requirement 12.1.3..a Information Security Policy Roles and Responsibilities","Documentation Evidence","This involves examining the information security policy to verify the definition of security roles and responsibilities, which falls under the review of documents."
"12.1.3.b","Requirement 12.1.3..b Personnel Information Security Responsibilities Understanding","Interview Evidence","This entails interviewing personnel to verify their understanding of information security responsibilities, which aligns with the collection of interview notes."
"12.1.3.c","Requirement 12.1.3..c Personnel Acknowledgment Information Security Responsibilities","Documentation Evidence","This involves examining documented evidence of personnel acknowledging their information security responsibilities, which is categorized under the review of documents."
"12.2.1 (Part 1 - Examine Acceptable Use Policies for End-User Technologies)","Requirement 12.2.1.. End User Technologies Acceptable Use Policy Examination","Documentation Evidence","This part involves examining the acceptable use policies for end-user technologies to verify they are documented and implemented as specified, which fits the review of documents."
"12.2.1 (Part 2 - Interview Responsible Personnel)","Requirement 12.2.1.. Personnel Acceptable Use Policy Processes Interviews","Interview Evidence","This part requires interviewing responsible personnel about the implementation of processes related to the acceptable use policies, which aligns with the collection of interview notes."
"12.3.3 (Part 1 - Examine Documentation for Cryptographic Suites and Protocols)","Requirement 12.3.3.. Cryptographic Suites and Protocols Documentation Examination","Documentation Evidence","This part involves examining documentation for cryptographic suites and protocols in use, ensuring the review aligns with specified elements, which fits the review of documents."
"12.3.3 (Part 2 - Interview Personnel)","Requirement 12.3.3.. Personnel Cryptographic Documentation Review Interviews","Interview Evidence","This part requires interviewing personnel to verify the documentation and review process for cryptographic suites and protocols, which aligns with the collection of interview notes."
"12.3.4 (Part 1 - Examine Documentation for Review of Hardware and Software Technologies)","Requirement 12.3.4.. Hardware and Software Technologies Review Documentation Examination","Documentation Evidence","This part involves examining documentation related to the review of hardware and software technologies in use, ensuring that the review aligns with all specified elements, which fits under the review of documents."
"12.3.4 (Part 2 - Interview Personnel)","Requirement 12.3.4.. Personnel Hardware and Software Review Interviews","Interview Evidence","This part requires interviewing personnel to verify that the review of hardware and software technologies is conducted in accordance with specified elements, which aligns with the collection of interview notes."
"12.4.2.a (Service Provider Assessment)","Requirement 12.4.2..a Service Provider Security Policy and Operational Procedure Review Process Examination","Documentation Evidence","This part involves examining policies and procedures to verify defined processes for conducting reviews to confirm that personnel are adhering to all security policies and operational procedures, which fits under the review of documents."
"12.4.2.b (Part 1 - Interview Personnel) (Service Provider Assessment)","Requirement 12.4.2..b Service Provider Personnel Review Process Interviews","Interview Evidence","This part requires interviewing responsible personnel as part of verifying that reviews are performed at least once every three months and by personnel other than those responsible for the task, which aligns with the collection of interview notes."
"12.4.2.b (Part 2 - Examine Records of Reviews) (Service Provider Assessment)","Requirement 12.4.2..b Service Provider Review Records Examination","Documentation Evidence","This part involves examining records of reviews to verify compliance with the review frequency and personnel requirements, which is in line with the review of documents."
"12.5.1.a","Requirement 12.5.1..a In-Scope System Components Inventory Examination","Documentation Evidence","This part involves examining the inventory to verify it includes all in-scope system components and a description of their function/use, which fits under the review of documents."
"12.5.1.b","Requirement 12.5.1..b Inventory Currency Verification Interviews","Interview Evidence","This part requires interviewing personnel to verify the inventory is kept current, which aligns with the collection of interview notes."
"12.5.2.a (Part 1 - Examine Documented Results of Scope Reviews)","Requirement 12.5.2..a Scope Review Frequency and Post-Change Documentation Examination","Documentation Evidence","This part involves examining the documented results of scope reviews to verify the reviews are performed at least once every 12 months and after significant changes, which fits under the review of documents."
"12.5.2.a (Part 2 - Interview Personnel)","Requirement 12.5.2..a Scope Review Procedure Verification Interviews","Interview Evidence","This part requires interviewing personnel to verify the regularity and responsiveness of the scope reviews, which aligns with the collection of interview notes."
"12.5.2.b","Requirement 12.5.2..b PCI DSS Scoping Confirmation Review Documentation Examination","Documentation Evidence","This involves examining the documented results of scope reviews performed by the entity to verify that the PCI DSS scoping confirmation activity includes all specified elements, which is in line with the review of documents."
"12.5.2.1.a (Part 1 - Examine Documented Results of Scope Reviews) (Service Provider Assessment)","Requirement 12.5.2.1.a Service Provider Biannual and Post-Change Scope Review Documentation Examination","Documentation Evidence","This part involves examining the documented results of scope reviews for service providers to verify that reviews are performed at least once every six months and after significant changes, which fits under the review of documents."
"12.5.2.1.a (Part 2 - Interview Personnel) (Service Provider Assessment)","Requirement 12.5.2.1.a Service Provider Scope Review Procedure Verification Interviews","Interview Evidence","This part requires interviewing personnel to verify the frequency and responsiveness of scope reviews as per Requirement 12.5.2, which aligns with the collection of interview notes."
"12.5.2.1.b (Service Provider Assessment)","Requirement 12.5.2.1.b Service Provider Scoping Validation Review Documentation Examination","Documentation Evidence","This involves examining the documented results of scope reviews for service providers to verify that scoping validation includes all elements specified in Requirement 12.5.2, which is in line with the review of documents."
"12.5.3.a (Service Provider Assessment)","Requirement 12.5.3..a Service Provider Organizational Structure Change Impact Review Policies and Procedures Examination","Documentation Evidence","This involves examining policies and procedures to verify defined processes for reviewing the impact of significant organizational structure changes on PCI DSS scope and control applicability, which fits under the review of documents."
"12.5.3.b (Part 1 - Examine Documentation) (Service Provider Assessment)","Requirement 12.5.3..b Service Provider Organizational Structure Change Impact Review Documentation Examination","Documentation Evidence","This part involves examining documentation (e.g., meeting minutes) to verify documented reviews of significant organizational structure changes and their inclusion of all specified elements, which aligns with the review of documents."
"12.5.3.b (Part 2 - Interview Personnel) (Service Provider Assessment)","Requirement 12.5.3..b Service Provider Organizational Structure Change Impact Review Process Interviews","Interview Evidence","This part requires interviewing responsible personnel to verify that documented reviews of significant changes to organizational structure were conducted and communicated to executive management, which aligns with the collection of interview notes."
"12.6.2 (Part 1 - Examine Security Awareness Program Content)","Requirement 12.6.2.. Security Awareness Program Content Examination","Documentation Evidence","This part involves examining the content of the security awareness program to verify it is in accordance with all specified elements, which fits under the review of documents."
"12.6.2 (Part 2 - Examine Evidence of Reviews)","Requirement 12.6.2.. Security Awareness Program Review Evidence Examination","Documentation Evidence","This part involves examining the evidence of reviews of the security awareness program, ensuring compliance with the requirement's elements, which aligns with the review of documents."
"12.6.2 (Part 3 - Interview Personnel)","Requirement 12.6.2.. Security Awareness Program Compliance Verification Interviews","Interview Evidence","This part requires interviewing personnel to verify the accordance of the security awareness program with the specified elements, which is in line with the collection of interview notes."
"12.6.3.a","Requirement 12.6.3..a Security Awareness Training Attendance Records Examination","Documentation Evidence","This involves examining security awareness program records to verify that personnel attend training upon hire and annually, fitting under the review of documents."
"12.6.3.b","Requirement 12.6.3..b Security Awareness Program Multiple Communication Methods Verification","Documentation Evidence","This part involves examining security awareness program materials to verify they include multiple methods of communication and education, aligning with the review of documents."
"12.6.3.c","Requirement 12.6.3..c Personnel Security Awareness Training Completion Interviews","Interview Evidence","This requires interviewing personnel to verify completion of awareness training and understanding of their role in protecting cardholder data, which is in line with the collection of interview notes."
"12.6.3.d (Part 1 - Examine Security Awareness Program Materials)","Requirement 12.6.3..d Security Awareness Program Understanding Acknowledgment Materials Examination","Documentation Evidence","This part involves examining security awareness program materials for evidence of personnel acknowledgments, ensuring compliance with the requirement for annual acknowledgment of understanding, which fits under the review of documents."
"12.6.3.d (Part 2 - Examine Personnel Acknowledgments)","Requirement 12.6.3..d Personnel Security Policy and Procedure Understanding Acknowledgments Examination","Documentation Evidence","This part involves examining personnel acknowledgments to verify that they acknowledge understanding the information security policy and procedures at least annually, which is aligned with the review of documents."
"12.8.1.a","Requirement 12.8.1..a TPSP List Maintenance Policies and Procedures Examination","Documentation Evidence","This involves examining policies and procedures to verify processes are defined for maintaining a list of Third Party Service Providers (TPSPs), including descriptions of services provided for those involved with account data or affecting its security, fitting under the review of documents."
"12.8.1.b","Requirement 12.8.1..b TPSP List and Service Description Documentation Examination","Documentation Evidence","This part involves examining documentation to verify the maintenance of a list of all TPSPs, including a description of the services they provide, aligning with the review of documents."
"12.8.2.a","Requirement 12.8.2..a TPSP Written Agreements Maintenance Policies and Procedures Examination","Documentation Evidence","This involves examining policies and procedures to verify that processes are defined for maintaining written agreements with all Third Party Service Providers (TPSPs) in accordance with the specified elements, which fits under the review of documents."
"12.8.2.b","Requirement 12.8.2..b TPSP Written Agreements Compliance Examination","Documentation Evidence","This part involves examining the written agreements with TPSPs to verify they are maintained in accordance with all specified elements, aligning with the review of documents."
"12.8.3.a","Requirement 12.8.3..a TPSP Engagement Process Policies and Procedures Examination","Documentation Evidence","This involves examining policies and procedures to verify that processes are defined for engaging Third Party Service Providers (TPSPs), including conducting proper due diligence prior to engagement, which fits under the review of documents."
"12.8.3.b (Part 1 - Examine Evidence)","Requirement 12.8.3..b TPSP Engagement Due Diligence Evidence Examination","Documentation Evidence","This part involves examining evidence to verify that the process for engaging TPSPs includes proper due diligence prior to engagement, aligning with the review of documents."
"12.8.3.b (Part 2 - Interview Personnel)","Requirement 12.8.3..b TPSP Engagement Due Diligence Process Verification Interviews","Interview Evidence","This requires interviewing responsible personnel to verify the due diligence process in engaging TPSPs, which is in line with the collection of interview notes."
"12.8.4.a","Requirement 12.8.4..a TPSP PCI DSS Compliance Monitoring Policies and Procedures Examination","Documentation Evidence","This involves examining policies and procedures to verify that processes are defined to monitor Third Party Service Providers' (TPSPs???) PCI DSS compliance status at least once every 12 months, which fits under the review of documents."
"12.8.4.b (Part 1 - Examine Documentation)","Requirement 12.8.4..b TPSP PCI DSS Compliance Status Monitoring Documentation Examination","Documentation Evidence","This part involves examining documentation to verify that the PCI DSS compliance status of each TPSP is monitored annually, aligning with the review of documents."
"12.8.4.b (Part 2 - Interview Personnel)","Requirement 12.8.4..b TPSP Compliance Status Monitoring Verification Interviews","Interview Evidence","This requires interviewing responsible personnel to verify the annual monitoring of TPSPs' PCI DSS compliance status, which is in line with the collection of interview notes."
"12.8.5.a","Requirement 12.8.5..a TPSP and Entity PCI DSS Responsibilities Policies and Procedures Examination","Documentation Evidence","This involves examining policies and procedures to verify that processes are defined to maintain information about which PCI DSS requirements are managed by each Third Party Service Provider (TPSP), which are managed by the entity, and any shared responsibilities, fitting under the review of documents."
"12.8.5.b (Part 1 - Examine Documentation)","Requirement 12.8.5..b TPSP and Entity PCI DSS Responsibilities Documentation Examination","Documentation Evidence","This part involves examining documentation to verify the entity maintains information about PCI DSS requirements management by each TPSP, the entity, and any shared responsibilities, aligning with the review of documents."
"12.8.5.b (Part 2 - Interview Personnel)","Requirement 12.8.5..b TPSP and Entity PCI DSS Responsibilities Management Verification Interviews","Interview Evidence","This requires interviewing personnel to verify maintenance of information about PCI DSS requirements management by TPSPs and the entity, which is in line with the collection of interview notes."
"12.10.1.a","Requirement 12.10.1..a Incident Response Plan Existence and Elements Verification","Documentation Evidence","This involves examining the incident response plan to verify that it exists and includes all the elements specified in the requirement, which fits under the review of documents."
"12.10.1.b (Part 1 - Interview Personnel)","Requirement 12.10.1..b Incident Response Plan Adherence Verification Interviews","Interview Evidence","This requires interviewing personnel to verify that the documented incident response plan and procedures were followed during previously reported incidents or alerts, aligning with the collection of interview notes."
"12.10.1.b (Part 2 - Examine Documentation)","Requirement 12.10.1..b Documented Incident Response Execution Examination","Documentation Evidence","This part involves examining documentation from previously reported incidents or alerts to confirm adherence to the incident response plan and procedures, which is in line with the review of documents."
"12.10.2 (Part 1 - Interview Personnel)","Requirement 12.10.2.. Security Incident Response Plan Annual Review and Testing Verification Interviews","Interview Evidence","This requires interviewing personnel to verify that the security incident response plan is reviewed, updated as needed, and tested at least once every 12 months, including all elements listed in Requirement 12.10.1, which aligns with the collection of interview notes."
"12.10.2 (Part 2 - Review Documentation)","Requirement 12.10.2.. Security Incident Response Plan Annual Review and Testing Documentation Examination","Documentation Evidence","This part involves reviewing documentation to confirm that the security incident response plan is annually reviewed, updated, and tested, including verification of all listed elements, which is in line with the review of documents."
"12.10.3 (Part 1 - Examine Documentation)","Requirement 12.10.3.. Incident Response Team 24/7 Availability Documentation Examination","Documentation Evidence","This involves examining documentation to verify that specific personnel are designated and available on a 24/7 basis to respond to security incidents, fitting under the review of documents."
"12.10.3 (Part 2 - Interview Personnel)","Requirement 12.10.3.. Incident Response Personnel 24/7 Availability Verification Interviews","Interview Evidence","This requires interviewing responsible personnel occupying designated roles to confirm their 24/7 availability for responding to security incidents, which aligns with the collection of interview notes."
"12.10.4 (Part 1 - Examine Training Documentation)","Requirement 12.10.4.. Incident Response Personnel Training Documentation Examination","Documentation Evidence","This involves examining training documentation to verify that incident response personnel are appropriately and periodically trained on their incident response responsibilities, which fits under the review of documents."
"12.10.4 (Part 2 - Interview Incident Response Personnel)","Requirement 12.10.4.. Incident Response Personnel Training Verification Interviews","Interview Evidence","This requires interviewing incident response personnel to confirm they are appropriately trained on their responsibilities, which aligns with the collection of interview notes."
"12.10.4.1.a","Requirement 12.10.4.1.a Incident Response Personnel Training Frequency Risk Analysis Examination","Documentation Evidence","This involves examining the entity???s targeted risk analysis for the frequency of training for incident response personnel to verify that the risk analysis was performed in accordance with all elements specified in Requirement 12.3.1, fitting under the review of documents."
"12.10.4.1.b (Part 1 - Examine Documented Results)","Requirement 12.10.4.1.b Incident Response Personnel Periodic Training Results Examination","Documentation Evidence","This part involves examining the documented results of periodic training of incident response personnel to verify training is performed at the frequency defined in the entity???s targeted risk analysis, aligning with the review of documents."
"12.10.4.1.b (Part 2 - Interview Personnel)","Requirement 12.10.4.1.b Incident Response Personnel Training Frequency Verification Interviews","Interview Evidence","This requires interviewing personnel to confirm that training for incident response personnel is conducted at the frequency determined by the entity's targeted risk analysis, which aligns with the collection of interview notes."
"12.10.5 (Part 1 - Examine Documentation)","Requirement 12.10.5.. Security Incident Response Plan Monitoring and Alert Response Documentation Examination","Documentation Evidence","This involves examining documentation to verify that monitoring and responding to alerts from security monitoring systems are covered in the security incident response plan, including the systems specified in the requirement, fitting under the review of documents."
"12.10.5 (Part 2 - Observe Incident Response Processes)","Requirement 12.10.5.. Incident Response Process Monitoring and Alert Response Observation","Observation Evidence","This requires observing incident response processes to confirm that they include monitoring and responding to alerts from security monitoring systems as outlined in the incident response plan, aligning with observation of processes."
"12.10.6.a","Requirement 12.10.6..a Incident Response Plan Evolution Policies and Procedures Examination","Documentation Evidence","This involves examining policies and procedures to verify that processes are defined to modify and evolve the security incident response plan according to lessons learned and to incorporate industry developments, fitting under the review of documents."
"12.10.6.b (Part 1 - Examine the Security Incident Response Plan)","Requirement 12.10.6..b Incident Response Plan Continuous Improvement Examination","Documentation Evidence","This part involves examining the security incident response plan to verify it is modified and evolved according to lessons learned and industry developments, aligning with the review of documents."
"12.10.6.b (Part 2 - Interview Responsible Personnel)","Requirement 12.10.6..b Incident Response Plan Update Process Verification Interviews","Interview Evidence","This requires interviewing responsible personnel to confirm that the incident response plan is continuously updated based on lessons learned and industry developments, which aligns with the collection of interview notes."
"12.10.7.a","Requirement 12.10.7..a Unexpected PAN Storage Incident Response Procedures Examination","Documentation Evidence","This involves examining documented incident response procedures to verify that they include processes for responding to the detection of stored Primary Account Number (PAN) where it is not expected, ensuring they are ready to be initiated and include all specified elements, fitting under the review of documents."
"12.10.7.b (Part 1 - Interview Personnel)","Requirement 12.10.7..b Unexpected PAN Detection Incident Response Verification Interviews","Interview Evidence","This requires interviewing personnel to verify that incident response procedures are performed upon detection of stored PAN in unexpected locations, aligning with the collection of interview notes."
"12.10.7.b (Part 2 - Examine Records of Response Actions)","Requirement 12.10.7..b Response Actions for Unexpected PAN Storage Records Examination","Documentation Evidence","This part involves examining records of response actions to confirm that the incident response procedures are executed upon detection of stored PAN in unexpected areas, which aligns with the review of documents."
